"","x"
"1",3.52868237162645
"2",2.00842515939202
"3",0.996962162840275
"4",2.96590089669221
"5",3.70303731923358
"6",-0.774523987516685
"7",2.81217532188981
"8",4.62697123905613
"9",2.63843815147596
"10",2.81217532188981
"11",3.10174779977662
"12",3.13965473233221
"13",2.39347301358318
"14",1.89107370124338
"15",-0.587666060116767
"16",0.858483565956083
"17",3.12252557031829
"18",0.735884778296861
"19",-1.9759248716944
"20",2.96590089669221
"21",0.996962162840275
"22",3.96951140902503
"23",3.12252557031829
"24",2.51326628011891
"25",1.36993068076199
"26",2.48144916447465
"27",2.71909174333212
"28",2.22200650861346
"29",0.664101839560574
"30",3.26071543557371
"31",2.19679003608829
"32",3.07670761454399
"33",3.26071543557372
"34",3.65358533231738
"35",2.92306957293103
"36",1.36993068076199
"37",0.773246657781745
"38",3.65358533231738
"39",3.65358533231738
"40",-0.495915268226447
"41",0.996962162840275
"42",1.369930680762
"43",1.36993068076199
"44",3.65358533231738
"45",3.25412359940276
"46",2.92306957293103
"47",1.89107370124338
"48",1.369930680762
"49",2.92306957293103
"50",3.65358533231738
"51",3.42973121196142
"52",3.77772124764299
"53",2.07488204893462
"54",3.76360708823637
"55",2.1028779169727
"56",2.48074089607955
"57",2.17962021706683
"58",3.66400256907974
"59",2.85061936048
"60",1.89350445242354
"61",3.6523970568498
"62",3.12427142009233
"63",1.24625974737871
"64",1.97934608965534
"65",3.31532648097566
"66",3.21829401571782
"67",1.5249382231717
"68",-1.13879767278822
"69",-1.13879767278822
"70",2.69468838943802
"71",1.36993068076199
"72",2.93836456423337
"73",3.15232418951956
"74",3.80976713524081
"75",2.66882997371012
"76",4.11621551351747
"77",2.92306957293103
"78",2.92306957293103
"79",1.96009184440477
"80",1.96009184440477
"81",0.805520793397008
"82",1.70230598194968
"83",3.65358533231738
"84",2.50218253755297
"85",3.75512508894917
"86",3.58445663853374
"87",3.65358533231738
"88",1.22786790644988
"89",3.58445663853374
"90",3.58445663853374
"91",2.92306957293103
"92",3.08784016669394
"93",2.87621357292046
"94",2.92306957293103
"95",2.63843815147596
"96",1.36993068076199
"97",1.96009184440477
"98",1.22786790644988
"99",1.80827111271593
"100",0.294632107301185
"101",1.36993068076199
"102",3.08784016669394
"103",1.70230598194968
"104",3.04512960241385
"105",4.19015708395978
"106",5.75551327815247
"107",0.294632107301185
"108",3.65358533231738
"109",0.996962162840275
"110",1.36993068076199
"111",0.996962162840275
"112",3.04512960241385
"113",3.62552836263372
"114",1.36993068076199
"115",3.6628228463606
"116",2.92306957293103
"117",3.65358533231738
"118",3.65358533231738
"119",3.65358533231738
"120",2.92306957293103
"121",1.52122913478798
"122",1.52122913478798
"123",2.88810570245877
"124",2.88810570245877
"125",2.07718474408086
"126",2.71286400201062
"127",2.16046576823105
"128",2.09860868826745
"129",2.09860868826745
"130",3.24345455424869
"131",3.20474008766306
"132",0.638044912872972
"133",2.31089271730075
"134",3.37740100571977
"135",2.75915562541418
"136",2.43081967729004
"137",2.31089271730075
"138",2.02113794781302
"139",3.0840644311533
"140",3.17935790077303
"141",3.94830821380716
"142",1.369930680762
"143",3.45887976018168
"144",2.58395059891013
"145",0.773246657781733
"146",-0.298439402559187
"147",3.3213210389741
"148",4.50242089634804
"149",2.48144916447465
"150",4.03202434294282
"151",1.4143620842542
"152",2.22200650861347
"153",3.30609705845686
"154",2.70948658543186
"155",4.26710179363173
"156",3.50578075734675
"157",4.04796481208767
"158",0.623762317562205
"159",3.04512960241385
"160",0.858483565956083
"161",4.04796481208767
"162",1.96009184440477
"163",2.80648762110917
"164",2.22200650861347
"165",1.41436208425419
"166",3.6628228463606
"167",1.41436208425419
"168",2.92306957293103
"169",1.1726199415378
"170",3.04512960241385
"171",0.996962162840275
"172",1.4143620842542
"173",1.36993068076199
"174",3.10174779977662
"175",4.20452172952876
"176",2.22200650861346
"177",3.07670761454399
"178",1.70230598194968
"179",2.92306957293103
"180",3.6628228463606
"181",4.50242089634804
"182",2.00842515939202
"183",2.63843815147597
"184",2.22200650861346
"185",1.69000228927575
"186",1.96009184440477
"187",1.36993068076199
"188",0.294632107301189
"189",1.41436208425419
"190",3.48884558742919
"191",3.73144439095602
"192",3.06282674735442
"193",3.24763286975973
"194",-0.411310545155652
"195",2.24181432039873
"196",2.24181432039873
"197",1.15919616702137
"198",1.15919616702137
"199",0.225971654459805
"200",1.74677820847154
"201",1.11740560013639
"202",1.56929465417879
"203",2.89799516401488
"204",2.86545896204672
"205",1.86630537260026
"206",3.31470962530942
"207",4.22079247022129
"208",2.26186220633506
"209",0.97256273883037
"210",2.30745485669748
"211",0.858483565956083
"212",3.15232418951956
"213",2.70948658543185
"214",1.7810946511241
"215",2.76831805337595
"216",0.858483565956083
"217",1.4143620842542
"218",1.89107370124338
"219",3.52868237162645
"220",3.65358533231738
"221",2.93836456423336
"222",2.92306957293103
"223",0.623762317562192
"224",3.04512960241385
"225",1.41436208425418
"226",2.70948658543185
"227",3.65358533231738
"228",3.07670761454399
"229",2.92306957293103
"230",2.80648762110917
"231",0.858483565956083
"232",2.92306957293103
"233",1.369930680762
"234",1.4143620842542
"235",2.92306957293103
"236",3.58445663853374
"237",1.4143620842542
"238",0.858483565956083
"239",0.442686129566438
"240",3.74812504756422
"241",0.858483565956083
"242",0.858483565956083
"243",2.92306957293103
"244",3.74812504756422
"245",3.6628228463606
"246",0.858483565956083
"247",0.442686129566438
"248",4.08710578047263
"249",1.41436208425419
"250",4.23961704763275
"251",0.636178577166398
"252",2.36088914099784
"253",1.74808871155434
"254",1.93097628650944
"255",0.522928030155462
"256",3.07670761454399
"257",2.44277593332651
"258",0.858483565956083
"259",0.858483565956083
"260",0.858483565956083
"261",0.343774207192653
"262",0.447644906686126
"263",2.39752807472275
"264",0.343774207192653
"265",3.31918495026843
"266",0.447644906686126
"267",0.724459843525098
"268",0.465465672906091
"269",0.460054879381252
"270",2.22720816251566
"271",0.460054879381252
"272",0.902449527373003
"273",2.98803012306941
"274",2.53635791092811
"275",-0.816723393554624
"276",0.598826133991712
"277",1.55281945357303
"278",0.724459843525098
"279",-0.319718226989408
"280",1.81331279961386
"281",4.19015708395978
"282",2.70948658543186
"283",1.7810946511241
"284",0.623762317562192
"285",-0.419320765658235
"286",2.75441221118061
"287",3.15232418951956
"288",4.50242089634804
"289",4.13623909298809
"290",6.3635601930219
"291",3.6628228463606
"292",3.15232418951956
"293",2.87621357292046
"294",1.84022275445509
"295",2.71823077194136
"296",4.50242089634804
"297",4.55953177124672
"298",3.76348095598804
"299",4.19015708395978
"300",4.21572930743202
"301",4.54486900083622
"302",2.93836456423337
"303",0.996962162840275
"304",1.70230598194968
"305",0.858483565956083
"306",4.77305773549228
"307",5.08845659400802
"308",4.07151655147529
"309",3.15232418951956
"310",3.75512508894917
"311",2.92306957293103
"312",1.22786790644988
"313",2.80648762110917
"314",0.919048257389318
"315",0.919048257389318
"316",0.858483565956083
"317",4.07151655147529
"318",3.35814400822423
"319",0.442686129566438
"320",3.04512960241385
"321",1.369930680762
"322",2.00842515939202
"323",3.58445663853374
"324",0.996962162840275
"325",3.04512960241385
"326",2.26696102708022
"327",1.47999297958766
"328",1.22502610190845
"329",1.22502610190845
"330",2.39123274049189
"331",1.56013997795327
"332",4.19015708395978
"333",0.858483565956083
"334",2.80648762110917
"335",1.1726199415378
"336",2.44277593332651
"337",4.19015708395978
"338",2.44277593332651
"339",1.1726199415378
"340",0.858483565956077
"341",0.858483565956077
"342",2.44277593332651
"343",2.66882997371012
"344",2.70948658543186
"345",2.44277593332651
"346",1.96009184440477
"347",3.04512960241385
"348",1.41436208425419
"349",2.44277593332651
"350",2.66882997371012
"351",2.02752261209655
"352",1.30082704422767
"353",1.47835020140356
"354",1.41436208425419
"355",3.94830821380716
"356",4.91906386075021
"357",4.91906386075021
"358",3.84389668887496
"359",3.94830821380716
"360",4.12406906323833
"361",4.36914667710585
"362",2.39347301358318
"363",0.326775368349518
"364",2.68635899506747
"365",0.773246657781745
"366",2.22200650861347
"367",-1.47741180159997
"368",-0.886597307752829
"369",0.442686129566438
"370",1.87397793835038
"371",3.86204350437716
"372",2.71909174333212
"373",2.22200650861347
"374",2.26697584116962
"375",2.1495417937269
"376",1.32321059895827
"377",3.88242556275096
"378",1.74808871155434
"379",0.326775368349518
"380",1.1726199415378
"381",2.48144916447465
"382",0.326775368349518
"383",4.50242089634804
"384",2.71909174333212
"385",4.48279231103072
"386",2.22200650861347
"387",3.49239248722896
"388",1.1726199415378
"389",2.94656462512554
"390",2.1495417937269
"391",0.326775368349518
"392",2.70948658543185
"393",2.75441221118061
"394",4.20452172952876
"395",1.1726199415378
"396",3.04512960241385
"397",3.38361700185199
"398",0.326775368349518
"399",4.19015708395978
"400",0.326775368349518
"401",1.45826471567561
"402",3.55431583131587
"403",2.26697584116962
"404",2.64748397371811
"405",0.590489409942182
"406",0.620898353361306
"407",2.67623937075144
"408",-0.311741031384939
"409",3.52830031651072
"410",2.32481872454844
"411",-0.311741031384939
"412",2.90799767262077
"413",-1.35153169170176
"414",0.586779030705576
"415",0.768731513155081
"416",1.99431326162009
"417",-0.872422414823833
"418",2.7885070497975
"419",1.69598125534982
"420",2.54560070475391
"421",0.586779030705576
"422",-0.254096850511711
"423",2.6646775385513
"424",4.03202434294282
"425",1.96009184440477
"426",2.81217532188981
"427",1.89107370124338
"428",0.587099374554687
"429",2.44277593332651
"430",3.08784016669394
"431",1.89107370124338
"432",2.76831805337595
"433",0.294632107301185
"434",2.76831805337595
"435",1.89107370124338
"436",0.623762317562192
"437",1.89107370124338
"438",0.294632107301185
"439",0.294632107301185
"440",2.75441221118061
"441",1.89107370124338
"442",2.70948658543185
"443",2.70948658543186
"444",0.294632107301185
"445",1.89107370124338
"446",5.07506670337196
"447",0.858483565956083
"448",0.805520793397017
"449",3.07670761454399
"450",0.623762317562205
"451",3.52868237162645
"452",2.70948658543185
"453",4.72023098681604
"454",0.623762317562192
"455",0.623762317562192
"456",2.66882997371012
"457",3.74812504756422
"458",0.294632107301185
"459",3.13965473233221
"460",2.70948658543185
"461",0.294632107301185
"462",0.294632107301185
"463",3.07670761454399
"464",4.42900584206287
"465",2.63843815147596
"466",2.63843815147596
"467",3.52868237162646
"468",0.858483565956077
"469",3.52868237162645
"470",4.55070791261185
"471",2.66882997371012
"472",2.70948658543185
"473",3.55431583131587
"474",1.49813485797145
"475",1.20235141601476
"476",-0.213781071097388
"477",0.615240830346321
"478",2.89243516177977
"479",2.99074719933457
"480",-0.213781071097388
"481",-0.642602252346286
"482",2.20459258204732
"483",0.789142880669681
"484",1.06791701577379
"485",2.82708821850807
"486",0.615240830346321
"487",3.76416917360143
"488",1.47429640039275
"489",1.84283128004228
"490",1.3053979685663
"491",2.73028063834579
"492",3.10670893640565
"493",1.81637544881727
"494",4.42900584206287
"495",2.63843815147596
"496",3.77706318390031
"497",1.89107370124338
"498",3.54465191471262
"499",0.623762317562192
"500",4.20452172952876
"501",2.92306957293103
"502",3.74812504756422
"503",1.70230598194968
"504",0.623762317562192
"505",3.48884558742919
"506",2.75441221118061
"507",1.84022275445509
"508",2.93836456423336
"509",1.369930680762
"510",3.48884558742919
"511",1.84022275445509
"512",2.93836456423336
"513",0.996962162840275
"514",3.07670761454399
"515",2.73754549157424
"516",2.73754549157424
"517",0.858483565956083
"518",1.41436208425418
"519",5.69524587533658
"520",5.20214857250254
"521",3.74812504756422
"522",2.76831805337595
"523",0.739283786555269
"524",2.76831805337595
"525",1.7810946511241
"526",2.80648762110917
"527",0.294632107301185
"528",3.55431583131587
"529",1.80827111271593
"530",2.92306957293103
"531",0.739283786555269
"532",2.92306957293103
"533",1.41436208425418
"534",3.65358533231738
"535",2.75441221118061
"536",0.739283786555269
"537",2.80648762110917
"538",2.93836456423336
"539",2.73754549157424
"540",3.55431583131587
"541",2.80648762110917
"542",2.00842515939202
"543",0.739283786555269
"544",1.54190728414444
"545",5.09361880894874
"546",-1.00232560429216
"547",-0.0779930666643523
"548",3.21763792946099
"549",-1.00232560429216
"550",2.55555200241208
"551",0.932744949814677
"552",0.932744949814677
"553",1.22540329591763
"554",-0.29660606263177
"555",3.30466121026958
"556",0.175192257484321
"557",-1.43841852017866
"558",-0.29660606263177
"559",2.55555200241208
"560",2.6098996782989
"561",0.756457022887083
"562",3.09772255983922
"563",0.175192257484321
"564",2.96590089669221
"565",1.70230598194968
"566",0.773246657781745
"567",0.773246657781745
"568",1.41436208425418
"569",1.84180468328155
"570",0.773246657781745
"571",1.41436208425418
"572",0.858483565956083
"573",1.84180468328155
"574",2.80648762110917
"575",0.996962162840275
"576",0.623762317562192
"577",3.86637208138365
"578",0.294632107301185
"579",3.9620475065302
"580",2.81217532188981
"581",1.89107370124338
"582",1.89107370124338
"583",3.17367559233955
"584",0.773246657781745
"585",0.773246657781745
"586",1.41436208425418
"587",2.80648762110917
"588",3.3213210389741
"589",-0.495915268226447
"590",0.773246657781745
"591",3.17367559233955
"592",2.00842515939202
"593",2.92306957293103
"594",1.89107370124338
"595",1.89107370124338
"596",0.996962162840275
"597",0.623762317562192
"598",2.76831805337595
"599",3.13965473233221
"600",1.70230598194968
"601",3.74812504756422
"602",0.996962162840275
"603",1.7810946511241
"604",2.80648762110917
"605",4.19015708395978
"606",0.773246657781745
"607",1.89107370124338
"608",2.92306957293103
"609",1.41436208425418
"610",2.44277593332651
"611",3.51562017983964
"612",0.858483565956083
"613",2.76831805337595
"614",2.2481811796736
"615",3.18938890171586
"616",2.65500779732321
"617",3.19026008452651
"618",2.64042718241742
"619",2.03774567651397
"620",2.10383258601514
"621",3.54295242701233
"622",2.64042718241742
"623",2.93951703024547
"624",4.24347217667352
"625",2.82904465089235
"626",2.95435178852839
"627",1.39951108803362
"628",3.40305712142253
"629",1.86319378102069
"630",2.07235218778495
"631",2.72123952721195
"632",0.957108268926625
"633",1.60610190980499
"634",1.89107370124338
"635",4.5570968576573
"636",2.66882997371012
"637",1.74808871155434
"638",3.29471359362943
"639",2.46001471637168
"640",1.23825646104652
"641",2.22200650861346
"642",1.41436208425418
"643",1.89107370124338
"644",2.76831805337595
"645",0.805520793397008
"646",0.442686129566438
"647",3.87434633870133
"648",0.442686129566438
"649",2.12404106275325
"650",1.41436208425418
"651",2.12404106275326
"652",0.587099374554697
"653",2.75441221118061
"654",3.50578075734675
"655",0.858483565956083
"656",3.64411278181313
"657",3.76348095598804
"658",-1.47741180159994
"659",3.15232418951956
"660",3.15232418951956
"661",3.6628228463606
"662",0.805520793397017
"663",2.66882997371011
"664",2.66882997371012
"665",0.805520793397008
"666",3.10108745982419
"667",3.52868237162645
"668",3.86598343749932
"669",3.06335323232735
"670",3.29471359362943
"671",3.76348095598804
"672",2.7009331238699
"673",1.89107370124338
"674",1.80827111271592
"675",-1.19472902416951
"676",3.08784016669394
"677",4.03202434294282
"678",3.06335323232735
"679",1.96009184440477
"680",4.97081374592861
"681",4.41678114940812
"682",1.74808871155433
"683",3.76348095598804
"684",3.01877216096121
"685",-0.649009865783383
"686",5.31393070040319
"687",5.21510485419396
"688",-0.664723008169301
"689",0.140394596755891
"690",1.23329051747963
"691",0.476377776415969
"692",4.20060464048194
"693",2.20548077531414
"694",1.76181553797051
"695",1.74460289677485
"696",3.87093771880685
"697",2.92645039844322
"698",3.28966903075559
"699",0.140394596755891
"700",0.897722073580424
"701",1.40469820093917
"702",3.45338495945068
"703",2.57385752730083
"704",3.72837844088983
"705",2.66882997371012
"706",3.06335323232735
"707",2.71909174333212
"708",-1.9759248716944
"709",1.74808871155434
"710",2.44277593332651
"711",0.442686129566446
"712",0.326775368349518
